agent_id,total_activities,avg_input_tokens,total_cost,high_privilege_ratio,avg_users_impacted,total_apps,anomaly_rate,rollback_avg,anomaly_score,cluster_kmeans,cluster_dbscan,over_privilege_risk,cost_anomaly_z,blast_radius_score,behavior_deviation,rhythm_biometric,sequence_entropy,similar_agents,compliance_exposure,predicted_rollback_minutes
AID-00001,82,12046.914634146342,3100.6645,0.4024390243902439,1443.4146341463415,20,0.036585365853658534,43.292682926829265,1,9,-1,0.2926829268292683,1.2551167806269632,1278.6541344437835,1.0000000000000002,3.0859180012445497,4.07094547041196,"['AID-00294', 'AID-00409', 'AID-00099']",7,56.16290406812431
AID-00002,111,11528.567567567568,4173.82,0.3333333333333333,873.927927927928,20,0.04504504504504504,27.56756756756757,1,11,-1,0.24684684684684682,0.6219378663135767,499.31990260530796,1.0,3.078406777585321,4.274624098478446,"['AID-00422', 'AID-00067', 'AID-00056']",7,35.94800444304642
AID-00003,120,10129.016666666666,4295.877,0.35833333333333334,1364.0916666666667,20,0.05,41.708333333333336,1,11,-1,0.2658333333333333,0.835427578700666,1165.1616319444447,1.0,3.1050416747951886,4.269827946378786,"['AID-00364', 'AID-00056', 'AID-00164']",7,54.2980574163774
AID-00004,115,11193.2,4030.7493,0.28695652173913044,739.4,20,0.0,54.608695652173914,1,9,-1,0.2008695652173913,0.37169312333268023,822.3413913043479,1.0000000000000002,3.080773712563796,4.253568497191742,"['AID-00391', 'AID-00339', 'AID-00459']",7,71.236456320262
AID-00005,114,10514.236842105263,3775.7772999999997,0.3157894736842105,875.3684210526316,20,0.03508771929824561,47.23684210526316,1,3,0,0.23157894736842102,0.07427801266739044,844.500166204986,1.0000000000000002,3.0567919272547774,3.8880302985804196,"['AID-00444', 'AID-00080', 'AID-00351']",7,61.375371278107636
AID-00006,101,11595.851485148514,3796.4551,0.38613861386138615,976.7722772277227,20,0.0,77.97029702970298,1,8,-1,0.27029702970297026,0.0381105042508489,1542.7199372610528,1.0,3.023889711973708,4.116846609368309,"['AID-00389', 'AID-00269', 'AID-00396']",7,109.34361391313972
AID-00007,82,10358.743902439024,2962.0036,0.4024390243902439,783.329268292683,20,0.036585365853658534,37.5,1,10,-1,0.2926829268292683,1.4976483491591632,603.1635365853659,0.9999999999999999,3.0071968699774136,3.9388762416054264,"['AID-00282', 'AID-00228', 'AID-00265']",7,48.907641228216974
AID-00008,127,10558.897637795275,4784.1438,0.3228346456692913,888.8661417322835,20,0.05511811023622047,49.330708661417326,1,0,1,0.24251968503937005,1.6894542932697907,894.7452563705128,1.0,3.096455446096627,4.319347455240054,"['AID-00031', 'AID-00388', 'AID-00269']",7,63.757497044100944
AID-00009,112,11397.955357142857,4075.7590999999998,0.26785714285714285,1206.2142857142858,20,0.026785714285714284,25.3125,1,11,-1,0.19553571428571426,0.4504196958078378,634.7702678571429,1.0000000000000002,3.0773008945951834,4.252917333770366,"['AID-00477', 'AID-00106', 'AID-00015']",7,32.92327812479514
AID-00010,120,11495.683333333332,4658.2494,0.38333333333333336,1169.9916666666666,20,0.058333333333333334,61.583333333333336,1,10,4,0.28583333333333333,1.4692525904002705,1464.4395694444445,1.0,3.1150903951694753,4.237118195132543,"['AID-00335', 'AID-00228', 'AID-00027']",7,79.98447849252186
AID-00011,110,10655.845454545455,4161.5882,0.37272727272727274,1339.3363636363636,20,0.02727272727272727,37.90909090909091,1,5,2,0.2690909090909091,0.6005432436047089,1042.2472066115702,1.0000000000000002,3.083888344483913,3.936237506995919,"['AID-00158', 'AID-00420', 'AID-00167']",7,49.37656938283117
AID-00012,95,10190.77894736842,3394.4205,0.30526315789473685,1034.3263157894737,20,0.021052631578947368,20.789473684210527,1,1,-1,0.22,0.7413086094284129,450.74852077562326,1.0,3.0709172326746597,4.149987499630235,"['AID-00164', 'AID-00489', 'AID-00051']",7,26.893704841730337
AID-00013,86,10345.06976744186,3227.5434,0.3488372093023256,1018.5930232558139,20,0.06976744186046512,22.03488372093023,1,10,-1,0.2651162790697674,1.033193090310225,469.2634369929691,0.9999999999999999,3.032453408044829,4.040206639401832,"['AID-00313', 'AID-00335', 'AID-00160']",7,28.609017730368873
AID-00014,90,11526.766666666666,2926.6241,0.3111111111111111,798.2222222222222,20,0.03333333333333333,7.444444444444445,-1,5,2,0.22777777777777777,1.559530578604414,134.81086419753086,1.0,3.0676501686272806,3.743135712427402,"['AID-00175', 'AID-00167', 'AID-00420']",7,15.32057879801893
AID-00015,113,10601.371681415929,4029.141,0.3805309734513274,1188.2300884955753,20,0.035398230088495575,20.97345132743363,1,1,-1,0.2769911504424778,0.36888004825765686,522.1903203069935,1.0,3.0665447799664953,4.188958887895497,"['AID-00189', 'AID-00084', 'AID-00143']",7,27.3654023585479
